,Unnamed: 0,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux,Average Salary
1008,1008.0,Client Support Analyst,TX,110317.90318416523,165887.75455820476,0.0,1.0,0.0,1.0,0.0,0.0,165887.75455820476
1009,1009.0,PEPI Director - Generative AI (Open to All US Locations),TX,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1010,1010.0,Forensics Analyst Level 2,TX,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,1.0,165887.75455820476
1011,1011.0,Simulation Developer - Logistics Optimization,TX,110317.90318416523,165887.75455820476,1.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1012,1012.0,Senior Power Market Analyst,TX,110317.90318416523,165887.75455820476,1.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1013,1013.0,Senior Marketing Strategy & Insights Manager (Austin-based),TX,110317.90318416523,165887.75455820476,0.0,0.0,0.0,1.0,0.0,0.0,165887.75455820476
1014,1014.0,BUSINESS INTELLIGENCE ANALYST,MO,59322.0,96762.0,1.0,0.0,0.0,1.0,0.0,0.0,96762.0
1015,1015.0,Digital Program Analyst,MO,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1016,1016.0,Director of Data,KS,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1017,1017.0,Labs - Data Scientist - Senior Associate,VT,110317.90318416523,165887.75455820476,1.0,1.0,1.0,1.0,1.0,0.0,165887.75455820476
1018,1018.0,Data Scientist Specialist,FL,76000.0,140000.0,1.0,0.0,0.0,1.0,0.0,0.0,140000.0
1019,1019.0,Data & Analytics Senior Analyst,FL,110317.90318416523,165887.75455820476,1.0,1.0,0.0,1.0,0.0,0.0,165887.75455820476
1020,1020.0,Project Analyst (Data),FL,110317.90318416523,165887.75455820476,0.0,0.0,0.0,0.0,0.0,0.0,165887.75455820476
1021,1021.0,Data Scientist,FL,110317.90318416523,165887.75455820476,1.0,1.0,1.0,1.0,1.0,1.0,165887.75455820476
