,Job Title,Location,Salary From,Salary To,Python,Java,C++,SQL,Javascript,linux
132,"Machine Learning Architect (Senior Consultant) - Deloitte Center for AI Computing | Businesses, Global and Strategic Services (BGS)",NC,,,0,0,0,0,0,0
133,Senior Data Scientist,NH,120000.0,150000.0,1,0,0,1,0,0
134,Senior Data Scientist,MI,120000.0,150000.0,1,0,0,1,0,0
135,"Engineering Specialist, Dimensional Controls",MI,,,0,0,0,0,0,0
136,Supply Chain Analytics Leader,MI,,,0,0,0,0,0,0
137,Senior Data Scientist,KY,115000.0,130000.0,1,0,0,1,0,0
138,"Postdoctoral Research Fellow, Observational Health Data Science and Informatics",ME,,,1,0,0,0,0,0
139,DATA SCIENTIST,NJ,,,0,0,0,0,0,0
140,Analytics Developer,NJ,,,1,0,0,1,0,0
141,"(Senior) Director, Head of Operations for Data Science & AI",NJ,,,0,0,0,0,0,0
142,Statistical Programmer II,NJ,,,0,1,0,0,0,0
143,Machine Learning Scientist I,NJ,,,1,0,0,0,0,0
144,Support Operations Engineer (6pm-2am EST coverage),NJ,,,0,0,0,0,0,1
145,"Big Data & Knowledge Management, System Architect",NJ,,,1,1,1,0,1,0
146,"Sr. Manager/Associate Director - Analytics Consulting (CPG, Marketing Analytics)",NJ,,,0,0,0,0,0,0
147,Assessment and Analytics Manager,OR,62500.0,73400.0,1,0,0,0,0,0
148,Financial Risk Analyst I/II (Credit Risk & Data Science),VA,91000.0,146300.0,1,0,0,1,0,0
149,Data Visualization Developer Expert | Work from Home!,VA,80000.0,115000.0,1,0,0,1,0,0
150,Jr. Data Scientist,VA,,,1,1,1,0,1,0
151,Data Visualization Developer Expert | Work from Home!,VA,80000.0,115000.0,1,0,0,1,0,0
152,Atmospheric Science Data Center Group Lead,VA,80000.0,135000.0,0,0,0,0,0,0
153,Software Developer - (Data Scientist),VA,190000.0,,1,0,0,0,0,1
154,"Imagery Analyst, Senior",VA,73100.0,166000.0,0,0,0,0,0,0
155,"Principal Software Engineer, Machine Learning Engineering",VA,,,1,1,0,0,0,0
156,Junior Data Engineer (TS SCI with CI Poly Required),VA,,,0,0,0,0,0,0
157,"Tech Excellence Data Scientist, Junior",OK,58300.0,133000.0,1,0,0,1,0,0
158,Senior Manager - Data Analytics and Insights,RI,,,0,0,0,1,0,0
159,"Data Science Manager (@Remote Bellevue, Washington)",WA,199000.0,270000.0,1,0,0,1,0,0
160,Senior Applied Scientist,WA,136000.0,,1,1,1,0,0,0
161,Sr. Data Scientist – Digital Marketing,WA,91700.0,171300.0,1,0,0,1,0,0
162,"Principal Engineer, On Device Machine Learning Frameworks",WA,271000.0,,0,0,0,0,0,0
163,"Research Scientist, Fundamental Computer Vision",WA,173000.0,241000.0,1,0,1,0,0,0
164,"ISE, Special Projects - Sr. Machine Learning Engineer",WA,,,1,0,1,0,0,0
165,Senior Machine Learning Scientist - Search & Recommendations,WA,138000.0,222000.0,1,1,1,0,0,0
166,AIML - Speech Synthesis Machine Learning Engineer,WA,,,1,0,1,0,0,0
167,Data Scientist,CT,,,1,0,0,1,0,0
168,Senior Machine Learning Engineer,CT,150000.0,200000.0,1,0,0,1,0,0
169,"Senior Software Engineer, Data Engineering",CT,68300.0,140000.0,1,1,1,1,1,1
170,Consumer & Community Bank - Data and Analytics - Machine Learning & Intelligence Operation Team - Data Scientist Senior Associate,DE,,,1,0,0,1,0,0
171,Senior Data Scientist,AZ,67496.0,103168.0,1,0,0,0,0,0
172,Junior Marketing Research Analyst,AZ,,,0,0,0,0,0,0
173,Senior Data Science Analyst,AZ,94000.0,132000.0,1,0,0,1,0,0
174,"Assistant Director 3, Business Analytics",UT,85000.0,95000.0,0,0,0,1,0,0
175,Data Scientist,TN,,,1,0,0,1,0,0
176,Statistical Programmer,TN,80300.0,133900.0,0,0,0,0,0,0
177,"Senior Backend Engineer, AI",TN,150000.0,190000.0,0,0,0,0,0,0
178,Rotational Data Scientist I / Data Scientist II,NV,63045.0,116064.0,1,0,0,0,0,0
179,Labs - Data Scientist - Senior Associate,NV,,,1,1,1,1,1,0
180,Director/Associate Director - Data Science (Neuroscience),MA,192000.0,288000.0,1,0,0,0,0,0
181,Machine Learning Analyst,MA,,,1,0,0,0,0,0
182,Data Engineer & Analyst,MA,80000.0,,1,0,0,1,0,0
183,Senior Data Engineer,MA,,,1,1,0,1,1,0
184,"VP, Head of Data Science and Systems Biology",MA,,,0,0,0,0,0,0
185,Clinical SAS Programmer,MA,,,0,0,0,0,0,0
186,Deep Learning (AI) Lead,MA,,,0,0,0,0,0,0
187,Research Engineer Machine Learning,MA,,,1,0,0,0,0,0
188,Sr Bioinformatics Platform Engineer,MA,,,0,0,0,0,0,0
189,Analytics Engagement Lead,MA,,,0,0,0,1,0,0
190,"Senior Analyst, Offline Marketing",MA,,,0,0,0,1,0,0
191,Senior Data Scientist (Healthcare),US,,,0,0,0,0,0,0
192,Marketing Operational Data Scientist (Remote),US,,,1,0,0,1,0,0
193,Data Scientist,CA,60900.0,147400.0,1,0,0,1,0,0
194,Research Data Analyst,CA,92112.0,101571.0,1,0,0,1,0,0
195,Research Scientist - Core Data Science,CA,140000.0,204000.0,1,1,1,0,0,0
196,"Data Analyst - Health, Senior",CA,85360.0,128040.0,0,0,0,0,0,0
197,Data Engineer - Video Processing and AI/ML Specialist - (Contract),CA,,,1,1,0,0,0,0
198,"Data Scientist, TikTok Social",CA,123500.0,179075.0,1,0,0,1,0,0
199,"Data Reporting and Analytics Consultant II / Biostatistician, Biostatistics Research",CA,69900.0,90420.0,1,0,0,1,0,0
200,Computational Support for Machine Learning and Transformers,CA,,,0,0,0,0,0,0
201,"100% Remote Cloud Engineer (Python, AWS, AI/ML)",CA,,,1,0,0,1,0,0
202,Program/Project Coordinator - Division of Artificial Intelligence in Medicine (AIM),CA,,,0,0,0,0,0,0
203,Senior Data Scientist,CA,120000.0,150000.0,1,0,0,1,0,0
204,"Data Scientist/Sr Data Scientist, Product Analytics - USDS",CA,136800.0,296822.0,1,0,0,1,0,0
205,"Sr. Data Scientist, Business Operations",CA,,,1,0,0,1,0,0
206,Machine Learning Engineer - E-commerce Recommendation - USDS,CA,112065.0,259200.0,1,0,1,0,0,0
207,Technical Team Member – Distributed Data Science & Machine Learning,CA,,,1,1,0,0,0,0
208,Medicaid Data Advisory Services Analyst,CA,70000.0,95000.0,0,0,0,0,0,0
209,Data Business Analyst,IN,,,0,0,0,1,0,0
210,Senior Analyst – Domestic Income Tax,IN,,,0,0,0,0,0,0
211,Principal Data Scientist,AR,,,1,0,0,1,0,0
212,Sr. Business Analyst/Data Analyst,VA,,,0,0,0,1,0,0
213,Sr. Data Scientist - Hybrid,WA,180000.0,,0,0,0,0,0,0
214,Data Analytics Engineer,WA,,,1,0,0,1,0,0
215,Statistician,WA,,,0,0,0,0,0,0
216,Data Forecaster,WA,,,1,0,0,0,0,0
217,DFS Risk & Trading Associate,WA,,,0,0,0,0,0,0
218,Power BI / Data Analyst,WA,,,0,0,0,1,0,0
219,Senior Data Analyst (Hybrid),VA,,,0,0,0,1,0,0
220,Data Engineer - Clearance Required,VA,,,0,0,0,0,0,0
221,0501WFH - 1468 Senior Data Scientist,VA,,,0,0,0,0,0,0
222,Senior Data Scientist,WA,,,1,0,0,0,0,0
223,DI Data Science - Mid,VA,,,1,0,0,1,0,0
224,Senior Level Data Scientist Analyst,WA,,,1,0,0,0,0,0
225,"Data Scientist, Senior",VA,93300.0,212000.0,1,1,0,0,1,0
226,Data Scientist (Analytic Tool Prototyper) - Mid Level,US,,,1,0,0,1,0,0
227,Data Scientist,TX,98500.0,100000.0,1,0,0,0,0,0
228,"Senior Analyst, Data Science and Analytics",TX,84000.0,94000.0,0,0,0,1,0,0
229,Sr Data Analyst,TX,,,0,0,0,1,0,0
230,"Data Scientist I, Cardiology",TX,,,0,0,0,0,0,0
231,Senior Data Scientist,TX,90000.0,180000.0,1,0,0,1,0,0
232,Human Performance Scientist (Applied Physiologist) (Supporting NASA at Johnson Space Center),TX,,,0,0,0,0,0,0
233,Computational Scientist - Institute for Data Science in Oncology (IDSO),TX,,,0,0,0,0,0,0
234,"Senior Backend Engineer, AI",TX,150000.0,190000.0,0,0,0,0,0,0
235,Industry Solution Leader (Supply Chain),TX,180000.0,220000.0,0,0,0,0,0,0
